SampleID	Class	SV1	SV2	SV3	SV5	SV18	SV20	SV26	SV28	SV33	SV41	SV59	SV68	SV71	SV76	SV83	SV95	SV107	SV115	SV146	SV210	SV221	SV249	SV267	SV273	SV274	SV294	SV298	SV303	SV313	SV314	SV327	SV335	SV356	SV390	SV404	SV408	SV412	SV414	SV435	SV458	SV462	SV471	SV495	SV501	SV572	SV633	SV635	SV638	SV645	SV671	SV766	SV767	SV845	SV846	SV854	SV864	SV915	SV919	SV936	SV969	SV993	SV1032	SV1040	SV1096	SV1220	SV1238	SV1268	SV1316	SV1412	SV1559	SV1617	SV1735	SV1815	SV1933	SV2254	SV2712	SV4105
7Mo2C1_2	Grassland	0	24573	0	36	142	3829	18699	0	0	0	0	3	0	2	0	8	0	918	9	10	22	0	0	3	0	0	0	4	0	0	0	10	20	1277	0	0	2	0	0	33	0	662	0	5	0	0	3	0	0	6	0	0	0	0	0	0	0	310	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	56	0	0
7Mo2C1_4	Grassland	0	5686	0	0	58	17669	15506	38	0	0	0	14	0	0	0	151	0	1446	6	1	0	0	0	0	0	0	0	0	0	0	0	6	2	1544	0	0	0	0	0	132	0	1575	0	3	0	0	3	0	0	3	1	0	0	0	0	0	9	117	0	13	0	22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
8Mo1_24	Desert	0	2925	0	0	9	0	0	0	5027	0	0	15	0	0	0	41	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	0	0	4	0	0
8Mo1_26	Desert	3	71	0	0	4	0	0	0	23901	0	0	0	0	0	0	992	0	0	6	0	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
8Mo1_28	Desert	31430	2864	0	11287	4563	18	1318	0	6	7	0	25	0	138	0	449	0	1	5	4	3	0	0	3	8	0	0	4	11	16	2	5	0	0	0	0	8	0	16	0	0	0	0	0	0	6	0	30	0	0	7	0	1	0	0	0	8	0	0	0	0	0	2	0	2	6	0	0	0	0	0	0	3	0	0	0	1
8Mo2_2	Desert	0	17029	0	1672	16	15	0	0	5	0	0	64	0	797	37	18	0	20	33	266	92	121	0	9	32	0	0	13	518	2	8	5	0	0	0	115	609	354	4	0	0	0	0	0	2	956	0	0	83	4	0	0	258	0	0	0	5	0	0	0	0	0	0	47	0	393	8	0	0	0	0	0	0	4	0	0	0
8Mo2_6	Desert	0	1032	0	1675	17	0	0	0	73	0	0	449	0	969	22	250	8	394	7	621	1013	80	0	52	570	0	0	6	560	0	80	4	0	18	0	49	297	393	13	0	0	0	0	0	3	585	0	16	516	0	2	0	199	0	0	0	40	0	0	0	0	0	0	49	0	558	0	0	0	0	0	0	0	0	0	0	0
8Mo2_7	Desert	0	1403	0	1020	1	0	0	0	2	0	0	768	0	462	0	15	3	52	0	544	1262	134	0	93	761	44	0	8	805	9	163	2	0	0	0	63	554	601	52	0	0	0	0	0	38	980	0	21	790	0	0	0	207	0	0	0	88	0	0	0	0	0	0	123	0	499	0	0	0	0	0	0	0	0	0	0	0
8Mo3_3	Desert	0	27208	0	62	25	7	18	0	0	25	0	74	0	11	0	0	0	0	14	37	4	0	0	45	6	1007	0	0	6	0	131	4	0	0	0	0	17	0	23	0	0	0	0	0	0	0	0	26	0	2	0	0	6	0	0	0	23	0	0	0	0	0	0	4	0	4	5	0	0	0	0	0	0	0	5	0	0
8Mo3_5	Desert	7734	45126	0	171	14	0	23	0	0	5	0	39	0	41	0	3402	10	289	0	13	26	10	0	11	47	0	0	6	12	10	46	10	0	0	0	7	22	3	0	0	0	0	0	0	0	0	1	9	4	0	0	0	0	0	0	0	30	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0
8Mo3_6	Desert	7	10709	0	1190	17	8372	57	0	0	0	0	1437	0	554	0	39	3	36	10	1742	2120	101	0	181	1051	39	0	10	1072	27	135	0	0	0	6	75	775	1235	96	0	0	0	0	0	28	1453	0	41	602	0	0	0	266	0	0	0	126	0	0	0	0	0	0	210	0	1034	0	0	0	0	0	0	0	0	1	0	0
8Mo4_2	Desert	2	8467	299	10668	13	3	0	4	1895	1317	0	338	27	59	869	16	5	11	408	1821	33	19	0	42	38	32	0	0	5	29	105	3	0	0	35	0	10	57	512	0	0	0	0	0	7	7	1	265	113	90	0	0	19	0	0	0	41	2	0	0	4	8	0	0	0	72	21	0	0	0	0	3	0	0	2	0	0
8Mo4_3	Desert	10	5439	266	9266	63	0	0	4	0	48	0	111	137	5	3857	6	6	2205	304	131	0	19	0	37	5	10	3	0	0	0	58	0	47	0	13	0	26	5	52	0	0	0	0	517	9	12	590	28	7	272	234	0	0	0	0	0	9	0	4	0	0	187	0	5	111	0	13	13	0	0	0	0	0	0	18	0	5
8Mo4_4	Desert	0	8224	22	2380	77	0	0	0	1	13	0	341	19	21	30	8	5	30	40	1425	17	0	0	52	50	0	0	4	6	13	61	21	0	0	11	0	3	22	200	7	0	0	0	13	0	4	3	118	23	38	0	0	0	0	0	0	34	0	0	0	0	0	21	0	0	54	36	0	0	0	0	0	10	0	4	0	0
8Mo4_5	Desert	4	25812	0	0	7	0	6269	0	3184	0	0	87	0	9	0	317	8	0	10	0	3	0	0	18	0	0	0	0	0	0	22	4	0	0	0	0	4	0	9	0	0	0	0	20	0	0	4	0	0	0	8	0	0	0	0	0	7	0	0	0	0	3	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0
8Mo4_6	Desert	0	8685	0	43	311	4	0	0	0	7	0	1094	0	17	0	426	0	0	890	19	22	0	0	96	152	0	0	0	19	17	561	353	255	0	2853	7	47	22	15	0	0	0	0	27	0	5	31	6	0	184	34	0	6	0	0	0	472	17	0	0	404	22	541	8	181	0	1431	0	0	0	0	708	519	0	63	0	7
8Mo4_7	Desert	0	36109	0	48	118	14	0	0	5	0	0	286	0	0	2	0	0	1117	61	24	0	0	0	66	4	0	0	0	7	6	69	10	60	0	0	0	0	4	0	0	0	0	0	1	0	0	12	5	10	1	22	0	0	0	0	0	23	0	0	0	0	40	0	0	6	0	4	0	0	0	0	0	8	0	50	0	0
8Mo4_8	Desert	0	3530	0	1256	22	0	0	0	0	0	0	92	104	0	13	4	0	0	24	71	0	0	0	0	7	0	0	0	0	3	36	0	0	0	5	0	0	0	26	0	0	0	0	0	0	6	0	40	5	0	0	0	8	0	0	0	11	7	0	0	0	3	0	0	0	3	7	0	0	0	0	0	10	0	0	0	0
8Mo4_10	Desert	0	10241	187	16945	8	0	0	2	219	1999	0	51	18	0	2324	0	0	0	9	4	0	0	0	0	0	136	0	0	0	0	1	11	0	0	4	0	2	2	0	0	0	0	0	3	0	0	7	0	0	5	0	0	0	0	0	0	9	0	0	0	0	6	0	0	2	0	5	0	0	0	0	0	3	0	0	0	0
8Mo8_7	Desert	2	39343	25	35	14547	23	0	1018	2	43	0	21	4	4	359	176	5	2427	191	11	0	0	0	1	3	0	0	2	0	1	0	11	0	0	0	0	1	0	7	0	0	0	0	17	0	0	41	20	6	27	7	0	0	0	0	0	5	0	0	0	0	39	0	0	0	0	2	0	0	0	0	0	4	7	9	0	0
8Mo8_9	Desert	0	6934	0	9	0	5	0	0	0	3	0	3	178	0	0	801	0	60	69	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
8Mo8_10	Desert	0	16003	0	8	7	0	0	2	0	15	0	0	0	0	714	5	0	65	27	4	4	0	0	0	5	0	0	0	0	0	0	0	6	0	7	0	4	0	0	0	0	0	0	0	0	0	7	1	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	7	0	0
8Mo9_2	Desert	0	11714	0	324	24	124	0	151	2595	161	0	1011	0	20786	1595	602	610	1025	44	171	538	2	0	370	72	0	0	10	0	28	499	15	0	8	6	0	6	42	34	0	0	4	0	84	0	3	204	26	25	55	0	0	0	0	0	0	185	0	0	0	0	156	758	21	0	8	6	0	0	0	0	3	4	28	0	0	5
8Mo9_3	Desert	0	13202	0	15	0	744	0	463	6	0	0	11	0	0	14321	10	0	38	15	6	0	0	0	0	2	0	0	0	0	0	1	8	0	25	4	0	0	0	5	0	0	10	0	1	0	0	9	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
23Mo7_29_1	Grassland	0	67019	0	2	0	23	14358	11	3	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	24	0	0	2	0	0	2	0	8	0	10	0	0	0	0	0	6	2	0	0	0	0	0	1	23	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_2	Grassland	0	808	53	0	0	0	13312	74	0	0	41	0	0	0	0	2775	20	205	24	0	3813	0	0	0	31	0	0	0	0	41	0	0	0	199	0	0	0	0	0	0	0	0	0	61	0	0	7	0	0	0	0	0	0	0	22	0	0	44	0	0	0	23	0	0	0	0	30	0	0	0	0	14	0	0	0	0	0
23Mo7_29_3	Grassland	1	144	106	132	130	0	10922	0	13363	0	227	3	0	0	163	0	4877	37	57	0	0	0	0	0	53	0	0	0	0	0	0	145	0	0	14	0	0	0	0	419	0	0	0	0	69	0	12	60	0	0	42	0	0	0	0	0	83	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	46
23Mo7_29_4	Grassland	1044	362	525	782	0	284	3670	138	291	0	102	0	0	0	154	0	146	0	0	0	0	0	0	0	0	0	0	0	91	10	0	0	0	0	0	0	0	76	0	0	1750	0	0	562	0	0	68	44	0	25	115	0	0	0	0	0	0	0	0	0	0	721	0	0	48	0	1	0	239	442	228	0	0	0	0	0	0
23Mo7_29_5	Grassland	0	1	248	14	341	0	0	0	3	0	10	0	0	0	42	13	0	71	190	0	0	0	0	0	0	0	0	1110	0	3659	0	12	0	0	273	51	166	0	0	0	0	0	0	125	97	0	257	0	0	48	0	0	0	0	0	1048	0	1	0	0	1491	301	0	0	177	0	69	0	0	0	0	0	0	0	63	0	99
23Mo7_29_6	Grassland	0	31588	220	146	181	0	0	71	0	0	50	25	0	0	1666	591	0	0	118	0	0	0	0	0	64	83	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	180	0	0	37	0	0	0	0	0	0	0	0	0	70	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78
23Mo7_29_8	Grassland	0	5	0	52	1	36857	11830	19	0	0	0	0	2	15	4862	5	6117	28	0	0	0	0	0	0	8	0	0	4	0	0	0	0	0	16	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_9	Grassland	0	193	142	963	153	0	0	151	744	0	2017	0	0	0	0	26	0	0	0	0	0	635	0	0	0	0	0	2359	0	1075	0	54	0	0	73	0	100	0	0	100	0	0	0	0	1382	0	137	0	0	0	76	115	0	0	0	0	148	0	0	0	0	64	0	0	56	0	0	0	0	0	0	0	139	0	0	0	16
23Mo7_29_10	Grassland	0	232	582	292	176	0	1	0	9496	0	1893	0	0	0	0	0	0	295	106	0	0	663	0	0	194	0	4374	355	380	1010	0	236	0	158	244	80	98	0	0	301	0	0	0	467	300	0	121	0	0	73	997	0	0	0	0	0	0	0	137	0	0	0	0	555	0	0	154	186	217	0	0	0	110	96	95	0	134
23Mo7_29_11	Grassland	0	2	208	858	0	2444	7561	0	154	0	940	111	0	0	2048	0	0	463	0	0	0	750	0	0	0	0	0	0	0	208	0	70	0	0	0	0	0	0	0	332	0	71	192	158	235	0	18	0	0	0	0	74	0	0	0	0	0	84	0	0	0	78	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_12	Grassland	0	14089	0	278	5	8795	42791	8	20653	0	0	3	0	167	0	66	13915	1305	0	0	0	0	7	0	0	0	0	0	0	0	3	0	382	666	0	0	0	0	0	804	0	25	2098	0	0	0	0	0	0	0	0	0	0	0	12	0	0	915	0	122	0	14	12	0	0	0	0	0	80	0	0	0	0	0	0	0	0
23Mo7_29_13	Grassland	0	0	301	84	112	79	36000	93	0	0	85	0	0	41	269	94	0	0	56	0	0	11	0	0	0	0	0	0	194	60	0	0	0	0	0	0	47	0	0	60	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_15	Grassland	0	2369	43	881	210	194	2	25	301	0	185	0	0	38	10344	411	0	962	0	0	0	106	22	0	0	0	0	0	244	124	0	0	17	806	0	32	0	0	0	318	37	148	466	154	53	0	120	0	0	249	423	0	0	0	26	0	0	79	94	198	0	864	53	0	0	0	0	813	590	0	0	0	47	0	0	0	43
23Mo7_29_16	Grassland	0	536	0	1644	634	126	0	42	151	77	508	0	0	0	784	0	0	273	0	0	0	185	0	0	84	0	0	1084	18	13	0	0	138	94	0	258	129	0	0	498	486	99	0	783	100	0	562	0	96	326	188	0	0	31	49	0	0	61	771	52	0	84	0	66	195	0	0	334	475	28	778	0	36	0	0	0	0
23Mo7_29_17	Grassland	0	34909	0	2	0	0	6932	0	21	0	0	3	0	0	437	3	4083	50	0	0	0	0	0	0	1	0	0	0	0	0	2	0	12	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_18	Grassland	56	1610	121	1958	246	102	716	0	187	0	1096	81	125	693	3990	332	38	3094	0	0	0	161	3443	0	0	0	0	758	0	668	0	164	0	292	41	0	33	0	0	976	0	472	197	120	901	0	166	0	0	115	0	0	0	0	0	0	124	464	5	429	0	0	0	0	0	0	225	116	38	0	0	0	123	107	0	0	168
23Mo7_29_19	Grassland	0	233	248	232	295	0	0	0	0	0	2042	1	0	0	0	0	0	119	0	0	0	223	0	0	0	0	43	1206	19	600	0	188	0	0	0	109	0	0	0	191	0	218	0	677	308	0	112	0	0	240	364	0	0	171	198	0	0	0	0	0	0	266	0	0	0	0	0	111	0	0	0	0	0	0	237	0	0
23Mo7_29_20	Grassland	0	12737	0	14872	10627	0	4897	3	0	0	3	0	0	0	0	263	0	47	0	0	0	3	103	0	0	0	0	0	0	0	0	0	4	46	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_21	Grassland	0	4683	41	438	3	63	4410	61	26	16	32	0	0	0	0	0	0	154	39	0	0	0	124	0	0	0	0	19	27	0	0	0	0	95	0	0	21	0	0	20	0	0	0	39	29	0	8	0	0	17	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
23Mo7_29_23	Grassland	0	1	0	2271	0	98	0	2202	0	0	0	174	0	0	10666	0	0	107	0	0	0	0	0	0	0	0	0	42	0	174	0	0	0	0	0	0	0	0	0	17	0	0	0	0	31	0	30	0	0	0	0	0	0	0	0	0	0	98	0	0	0	55	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0
23Mo7_29_24	Grassland	0	195	64	269	136	0	35703	0	0	0	45	0	0	45	27	0	0	109	41	0	0	0	0	0	0	0	0	13	0	0	18	0	0	0	0	1	0	0	0	77	9	0	0	54	34	0	52	0	0	0	0	0	0	0	0	0	0	0	0	55	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_27	Grassland	0	4	0	23	2	1890	0	2	0	0	1	3	0	26	1493	0	0	40	0	0	0	0	0	0	3	0	0	3	0	0	0	0	2	16	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_28	Grassland	0	36	131	24	35	63	0	0	0	0	768	0	110	0	96	0	0	0	95	0	0	16	0	0	456	0	0	174	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	472	915	0	137	0	0	775	0	0	0	28	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	154	47
23Mo7_29_30	Grassland	0	701	95	152	89	1	10485	0	0	0	1864	112	0	0	295	126	0	28	50	0	0	822	0	0	0	0	42	170	192	247	0	18	73	0	0	0	233	0	0	0	42	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	42	0	0	0	0	0	0	0	232	0	0	0
23Mo7_29_32	Grassland	0	148	219	0	145	867	0	0	0	0	22273	1	0	0	919	0	0	262	0	0	0	2996	108	0	55	0	0	1795	0	4189	0	0	0	0	4	2362	31	0	0	0	0	0	0	5	1348	0	75	0	0	11	0	1117	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	117	195	0	0	0
23Mo7_29_33	Grassland	0	11846	0	0	2	1492	14691	0	0	0	0	0	0	0	5	19	55	821	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	350	0	0	0	0	0	15	0	108	0	0	0	0	1	0	0	0	4	0	0	0	3	0	2	111	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
23Mo7_29_34	Grassland	0	849	0	0	0	21950	0	0	1	0	0	1	0	16	238	4	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	51	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_35	Grassland	0	1123	39	40	0	80	0	633	0	0	213	107	0	56	430	0	19	3138	90	0	0	14	0	0	0	5	0	25	0	331	35	0	146	537	76	0	0	0	0	457	0	0	0	53	48	0	146	0	0	25	0	0	0	68	0	0	477	221	0	0	183	0	0	0	0	0	59	0	0	0	0	0	0	0	46	0	0
23Mo7_29_36	Grassland	30	364	0	876	261	90	59	0	55	0	217	30	0	56	22	0	31	3872	0	0	0	56	1240	0	0	0	0	14	0	13	0	0	38	2429	0	0	0	0	0	1159	0	405	0	140	134	0	135	0	0	188	231	0	0	31	100	0	0	373	0	114	0	215	0	0	0	0	0	8	64	0	0	0	4	61	70	0	33
23Mo7_29_37	Grassland	30	2278	101	0	231	102	100	33	0	0	545	3	0	0	0	1	0	2433	50	0	0	204	52	0	0	31	0	457	0	0	0	1	18	328	0	189	32	0	0	270	0	49	0	739	100	0	265	0	0	304	0	75	0	30	0	0	40	33	0	78	0	191	25	0	0	0	0	0	0	0	0	80	0	18	40	0	9
