Sample_id	Site_type	SV1	SV2	SV3	SV5	SV18	SV20	SV28	SV33	SV41	SV58	SV68	SV71	SV76	SV85	SV95	SV107	SV146	SV175	SV210	SV221	SV249	SV313	SV314	SV335	SV356	SV435	SV458	SV624	SV633	SV638	SV645	SV680	SV809	SV840	SV845	SV854	SV915	SV951	SV960	SV994	SV1081	SV1136	SV1147	SV1238	SV1268	SV1339	SV1400	SV1541	SV1595	SV1767	SV1873	SV2061	SV2370	SV2541	SV2563	SV2601	SV2622	SV2661	SV3107	SV3228	SV3295	SV3304	SV3332	SV3338	SV3684	SV3937	SV4032	SV4539	SV5243	SV5734	SV5790	SV5891	SV6612	SV7341	SV8005	SV12575	SV19751
8Mo4_16	Desert	0	4985	6696	16358	18	0	2	62	3463	185	8	122	0	0	5	2	3	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo4_18	Desert	809	25451	0	7011	529	2733	1	364	892	293	120	0	4	0	156	6	1	0	60	0	0	0	0	0	0	0	34	0	0	3	10	0	0	1	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo4_20	Desert	95	1448	19110	4998	100	20	36	130	218	244	17	0	175	4	3	2	23	0	58	3	4	4	4	5	0	6	0	0	4	10	7	6	0	1	0	0	6	0	7	2	2	82	0	0	22	27	0	0	5	0	0	0	8	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	9	0	2	0	0	0	1
8Mo7_17	Desert	2	18853	17984	1384	57	11	31	0	6	27	35	8	54	0	15	0	48	12	6	0	5	35	0	18	0	0	1	0	13	7	34	11	0	2	1	0	3	95	25	53	0	92	12	12	30	0	0	83	0	0	0	0	9	0	31	12	0	0	73	35	0	12	0	57	0	1	0	0	55	4	0	0	0	0	0	5	0
8Mo7_19	Desert	2	24314	19265	1566	62	8	46	0	8	26	22	0	51	0	16	0	4	3	4	0	3	52	9	2	0	2	0	0	16	8	48	15	0	8	0	0	0	164	20	85	0	95	9	32	0	1	0	99	0	0	0	0	8	0	66	0	0	0	51	29	0	10	34	84	0	7	0	0	60	6	0	0	0	0	0	0	0
8Mo7_21	Desert	0	4261	30460	159	0	0	154	0	0	617	1	0	47	0	0	1	3	0	87	3	0	10	0	0	0	0	3	0	0	0	0	0	0	16	0	0	0	3	0	13	0	0	0	11	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo7_24	Desert	6	4597	2	375	40	16	556	0	11	0	127	4	24	0	0	2	109	0	125	1	9	28	15	69	0	9	0	4	17	30	54	21	0	37	1	0	25	107	49	193	2	0	8	13	66	0	0	136	0	0	0	6	9	0	91	43	0	1	68	77	0	13	7	101	0	0	0	6	75	0	0	0	0	0	0	8	6
8Mo8_18	Desert	0	16991	0	2360	5109	0	0	0	0	0	6	182	160	7136	37	13	0	0	28	0	0	0	0	0	0	0	61	0	0	3	2	0	0	0	0	0	4	14	10	0	10	69	0	0	0	0	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo9_14	Desert	0	641	98	6536	3	3	6316	4	0	1052	39	0	50	157	17	0	12	2	167	19	0	12	11	8	0	25	0	0	18	30	13	13	3	132	0	0	21	470	22	12	0	61	21	30	0	6	0	0	7	0	10	9	46	4	0	11	2	32	0	25	1	0	18	0	0	48	0	0	0	79	10	0	0	11	0	0	24
8Mo9_15	Desert	0	6920	30	5837	0	48	836	2	0	16	11	68	1526	11	105	68	2	103	2474	31	67	1581	0	2	17	0	56	0	557	2	261	0	496	483	178	12	76	0	0	8	89	0	0	92	0	110	190	0	0	31	4	0	0	0	0	2	0	0	0	2	0	0	5	0	16	0	0	58	0	0	0	0	0	0	0	0	0
8Mo16_16	Grassland	0	2468	36	4084	2	64	786	1	2	10	31	0	836	6	483	64	0	80	1503	25	69	990	2	1	155	0	1386	0	492	0	223	0	200	285	75	36	156	4	4	1	77	63	1	89	0	44	143	0	0	59	0	0	0	0	0	3	0	0	0	3	0	0	6	0	16	0	0	48	0	0	0	0	0	0	0	0	0
8Mo16_17	Grassland	0	6961	474	6155	0	53	511	2	0	0	12	3	1210	83	380	522	0	95	1588	26	79	1417	1	5	428	11	1099	0	546	2	286	0	229	149	126	815	69	0	0	0	184	55	0	100	0	186	158	0	0	14	0	0	4	0	0	0	0	0	0	2	0	6	0	0	280	0	0	17	0	0	0	0	0	0	0	0	0
8Mo16_18	Grassland	0	4386	218	8640	8	68	556	4	1	20	11	12	1195	65	1631	79	0	115	1650	31	97	1520	0	1	53	0	400	0	717	5	236	0	272	248	144	21	95	2	4	0	78	317	0	84	0	47	166	0	0	18	3	0	0	0	0	3	0	0	0	0	0	4	0	0	23	2	0	21	0	0	0	0	0	0	0	0	0
8Mo16_19	Grassland	0	11833	75	5897	4	75	982	0	3	264	17	3	787	0	150	71	0	87	1860	51	57	1057	1	3	92	1	361	1	695	4	276	0	345	150	79	43	230	4	5	0	127	367	2	82	0	26	159	0	0	67	0	0	0	0	0	2	0	1	0	1	0	0	0	0	15	0	0	34	0	0	0	0	0	0	0	0	0
8Mo16_20	Grassland	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	300	0	0	165	0	94	0	1453	106	251	0	0	0	0	0	48	778	32	0	0	143	227	0	0	0	0	157	0	344	104	734	241	0	152	195	449	0	470	88	97	292	2	0	860	153	0	0	113	126	94	87	109	175	104	73
