Sample_id	Site_type	SV1	SV2	SV3	SV5	SV18	SV20	SV26	SV28	SV33	SV41	SV56	SV58	SV68	SV71	SV76	SV83	SV95	SV107	SV115	SV146	SV210	SV221	SV273	SV274	SV294	SV297	SV303	SV313	SV314	SV327	SV356	SV412	SV414	SV458	SV495	SV544	SV572	SV624	SV633	SV645	SV680	SV850	SV854	SV860	SV915	SV951	SV960	SV969	SV1096	SV1142	SV1235	SV1238	SV1307	SV1595	SV1767	SV1873	SV1959	SV1999	SV2061	SV2370	SV2541	SV2569	SV2622	SV3219	SV3304	SV3598	SV3612	SV4452	SV5192	SV5273	SV5891	SV6502	SV6612	SV7788	SV8470	SV11557	SV12573
8Mo1_1	Desert	2206	26586	0	403	21	13	0	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_2	Desert	27812	558	2	13	24	8717	294	0	21292	345	0	3436	4	6080	1	2508	10358	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	25	0	4	0	0	0	4	0	0	0	0	14	1	0	0	0	3	0	0	0	0	17	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_3	Desert	4519	19930	0	5	2	0	0	561	0	0	0	0	4	0	0	0	475	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_4	Desert	8764	11261	0	984	11802	3337	29	0	1392	6055	3	0	0	0	0	235	265	13	411	7	0	3	0	0	0	0	2	0	0	0	47	0	0	1607	0	3	0	0	1	1	0	1	92	0	0	4	0	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_5	Desert	0	0	0	0	0	89	0	0	0	0	0	0	79	0	0	0	0	0	0	15	20	121	0	85	0	0	284	52	680	8	0	40	0	0	0	153	227	547	0	54	130	0	0	267	28	249	103	0	53	725	120	196	207	108	0	595	0	378	229	186	120	161	495	434	149	286	388	96	88	112	20	80	225	109	117	165	106
8Mo1_7	Desert	0	0	0	0	6	175	0	0	0	0	0	0	62	0	0	0	0	0	0	52	2	21	0	36	0	0	450	74	1636	9	0	18	0	0	0	167	366	855	0	21	241	0	0	228	6	276	72	0	9	315	201	302	226	108	0	513	0	311	178	226	202	135	488	596	152	38	357	234	127	350	204	168	216	96	127	80	113
8Mo1_8	Desert	5756	288	9405	1931	93	3299	0	0	0	2	0	0	3285	0	219	68	0	0	0	0	1722	2945	460	2445	0	0	20	134	0	352	0	228	1140	0	0	12	5	0	220	259	0	0	0	0	250	4	9	0	211	0	0	490	1	0	5	0	151	0	0	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_9	Desert	5255	365	4307	5182	2727	2633	9	0	11	9	0	0	2288	6	209	304	4	5	35	0	1944	3114	491	2320	0	0	3	151	14	351	0	169	760	12	0	5	19	0	357	572	0	5	0	0	236	5	10	12	82	0	0	426	0	0	6	0	140	1	0	21	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_10	Desert	0	40783	4	254	13	0	0	0	0	0	0	0	179	0	90	0	76	16	888	6	41	7	53	2	0	0	0	23	0	79	4	27	0	4	0	0	2	0	17	0	9	0	0	0	68	7	0	0	5	0	0	24	0	10	0	6	118	0	0	20	11	6	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0
8Mo2_14	Desert	3719	28800	2	24698	604	2933	2	5	521	1396	3	518	167	0	10	81	122	8	129	2	184	0	20	1	0	0	0	0	0	16	0	0	5	100	0	0	0	0	3	19	0	2	7	0	15	1	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo2_15	Desert	13259	947	0	18	52	0	5	0	6	22	0	0	0	51	21	0	7	0	16	3	13	0	0	1	0	43	0	4	0	0	1	4	0	13	0	2	0	0	16	0	0	24	2	0	1	0	0	38	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo2_18	Desert	4245	33806	0	469	7519	112	6	2	33	6	0	0	1575	0	147	311	22	4	22	2	749	1793	303	1558	3	0	3	155	8	342	0	150	442	11	2	0	10	0	299	368	0	0	0	0	187	5	6	9	34	0	0	255	1	0	0	0	158	0	0	3	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
8Mo2_19	Desert	8	4086	0	18	41	0	0	0	6448	0	0	0	2	0	0	0	0	0	0	4	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo2_20	Desert	4342	21771	0	31149	1	0	259	1	1	1	0	0	1231	0	433	4	0	4	2	3	774	1478	218	1445	0	0	4	619	5	268	0	277	584	0	0	0	11	0	609	276	0	0	0	0	135	15	9	0	83	0	0	388	0	0	7	0	59	0	1	22	4	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_8	Desert	46	25900	0	380	9	0	0	1885	0	76	0	0	4	0	0	0	0	0	0	0	77	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_9	Desert	145	9433	0	9	8364	267	1	0	3576	6	0	0	5	443	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	101	4	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_10	Desert	152	35257	0	120	1426	8	0	0	505	2	0	0	9	14	0	0	8	0	15	282	0	0	1	0	0	0	0	0	0	4	0	0	0	29	0	15	0	0	0	0	0	8	0	0	8	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_11	Desert	3841	14445	0	1145	1659	3627	14	0	29	0	0	0	7	0	0	768	0	0	0	0	0	0	2	0	0	0	0	0	0	6	7	0	0	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_12	Desert	3	29484	0	377	26	13	19	0	329	24	0	0	0	3	25	0	11	12	47	0	6	0	0	0	0	486	0	0	0	1	0	0	1	510	290	3	0	0	0	1	1	983	0	0	2	0	0	123	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_13	Desert	241	17166	0	463	14955	4	993	0	101	4	0	7	7	248	0	5	0	4	11	0	0	0	4	0	0	0	0	0	0	13	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_14	Desert	883	34591	0	138	1981	1087	1	0	12243	0	0	0	13	9	7	22	0	0	6	0	16	0	0	0	0	0	0	9	0	0	0	5	4	0	0	2	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo5_1	Desert	1	51194	0	156	0	2	0	1	1	0	0	0	27	0	3	0	0	0	170	0	1	0	7	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo6_11	Desert	8187	23002	0	8	0	0	145	4	0	0	0	0	0	0	3	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo6_12	Desert	21334	7311	0	995	6	4	100	308	0	3	0	0	8	0	0	682	1	30	337	22	0	0	0	1	0	0	0	0	0	0	77	0	0	877	0	10	0	0	2	18	0	0	625	0	0	0	0	23	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo6_13	Desert	11666	44	0	10	8	11008	441	0	0	51	1228	0	16	0	5	62	0	0	12	66	7	0	0	0	0	8	0	0	0	0	0	0	4	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
8Mo6_14	Desert	15742	191	0	13	10	7991	2814	0	0	446	892	0	15	1	32	37	0	0	27	49	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0	0	5	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo6_15	Desert	1513	16594	0	0	0	6916	546	0	12	33	0	0	0	0	0	363	0	67	16	0	0	0	0	0	0	0	0	0	0	0	77	0	1	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo7_12	Desert	5685	24	0	202	10134	1073	15	13	0	166	9	0	0	2	92	0	16443	0	0	3	3	0	0	2	0	15	0	0	0	0	0	0	0	21	0	4	0	0	32	404	0	0	0	0	1	3	0	4	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo7_13	Desert	2323	9370	0	512	3	0	3847	0	0	94	0	0	0	3464	0	0	50	0	0	0	0	0	0	0	4162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo8_11	Desert	140	35588	0	7	3096	0	0	45	0	2	16	0	0	14	0	0	85	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo8_12	Desert	279	21122	0	0	2840	1755	306	8	3742	0	0	0	0	370	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo8_13	Desert	1452	34835	0	45	4019	23	0	375	93	19	10	0	10	102	0	0	216	0	19	12	15	0	0	7	0	0	0	0	7	2	0	4	0	5	0	0	0	0	0	4	4	0	0	0	1	23	10	4	0	0	0	2	0	0	8	0	0	0	0	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
8Mo8_15	Desert	8	31829	0	0	9272	0	0	73	938	0	0	0	0	111	0	0	65	0	3029	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo9_6	Desert	29	20481	0	29	0	64	14	935	0	239	0	0	57	0	16	261	3	20	54	21	76	8	7	18	0	0	2	0	4	10	1865	10	14	177	52	1	0	0	16	15	4	7	0	5	20	43	22	178	0	0	0	22	0	4	104	17	4	8	0	29	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
8Mo9_7	Desert	457	63	3	18	168	32875	79	10	1	5	5	2	27	0	4	172	30	22	9	92	29	2	22	0	0	0	0	4	15	6	5	2	8	0	61	0	0	0	0	6	4	0	0	0	13	37	10	0	0	0	0	0	0	3	0	0	13	0	0	24	0	0	0	0	4	0	0	0	0	5	0	0	5	0	0	0	0
8Mo9_9	Desert	951	100	0	44	14	1396	9	16	0	19	0	0	3	4	17	796	8	1	36	19	5	0	0	2	0	117	7	3	5	6	0	2	0	40	22	15	0	0	0	0	0	0	0	0	10	34	0	32	0	0	5	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
8Mo13_1	Grassland	55280	30	0	333	36	100	0	58	0	0	0	0	58	5	0	0	5	0	0	41	49	0	0	8	0	0	0	0	8	0	0	0	0	0	0	24	0	0	0	182	5	0	0	0	54	0	0	0	11	0	0	50	0	0	17	0	0	0	0	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
8Mo16_1	Grassland	21706	9663	0	365	6	10	169	140	3	5	0	1	1	13	165	0	135	45	5	0	126	0	0	2	0	0	0	100	0	0	5	0	2	15	0	0	0	0	22	33	0	0	4	0	11	0	0	2	4	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo16_2	Grassland	15591	4919	6	1047	6	26	1881	570	5	2	0	6	18	12	402	0	217	163	7	0	515	17	0	12	0	0	0	302	0	4	16	3	0	466	0	0	0	0	112	108	0	0	18	4	175	0	0	0	9	0	0	13	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo16_3	Grassland	18048	1823	2	237	1	0	0	810	0	0	0	0	18	0	32	0	89	2	5	2	185	15	0	14	0	0	0	17	0	4	1	0	6	5	0	0	0	0	13	92	0	0	5	0	293	1	0	0	12	0	0	5	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo16_4	Grassland	10771	5667	1	494	0	5	3	1978	0	0	0	2	83	11	108	0	286	23	0	0	518	24	14	16	0	0	0	115	0	13	11	1	7	26	0	0	0	4	39	226	0	0	10	6	821	0	0	0	18	0	0	15	2	0	143	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo16_5	Grassland	34705	3498	4	797	3	4	1081	364	0	0	2	3	0	12	149	0	145	17	3	5	312	1	1	3	0	5025	0	50	0	0	153	0	0	20	188	0	0	0	54	35	0	0	0	4	29	0	2	0	0	0	0	9	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_1	Grassland	92933	3246	21	683	1651	582	58	530	1	18	0	309	4	0	0	14	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_3	Grassland	48135	175	5	35	3	1051	1444	3	30	53	0	92	0	35	0	0	162	23	23	0	0	0	0	0	0	0	0	0	0	0	5	0	0	302	0	0	0	0	0	0	0	0	14	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_5	Grassland	64019	54	3	56	9	6536	12559	132	0	0	0	14	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	149	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_28_6	Grassland	90183	14849	5	12	5	0	7	2	14	0	0	8	0	0	0	0	7	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_38	Grassland	113781	120	11	103	58	8	4	18	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	19	0	0	11	0	38	0	0	2	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	16	0	0	9	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
