Sample_id	Site_type	SV1	SV2	SV3	SV5	SV18	SV20	SV26	SV28	SV33	SV41	SV56	SV58	SV68	SV71	SV76	SV83	SV95	SV115	SV125	SV146	SV210	SV221	SV273	SV274	SV313	SV327	SV335	SV356	SV390	SV404	SV412	SV414	SV444	SV458	SV471	SV501	SV544	SV601	SV633	SV635	SV645	SV671	SV814	SV845	SV846	SV850	SV854	SV880	SV915	SV919	SV969	SV1032	SV1075	SV1096	SV1127	SV1136	SV1183	SV1202	SV1238	SV1268	SV1270	SV1374	SV1438	SV1735	SV1815	SV1959	SV2031	SV2254	SV2437	SV3305	SV3306	SV4237	SV4698	SV5295	SV5517	SV6536	SV6608
8Mo1_12	Desert	0	588	20152	9844	3	494	0	238	0	0	0	359	0	0	0	117	117	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_13	Desert	5372	9818	0	117	7402	2353	3	42	4133	54	242	0	0	3	0	2	728	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_14	Desert	6911	2751	16	11414	4	453	726	895	3	811	0	0	2004	0	606	7	170	0	0	0	2006	3067	282	2358	720	369	3	0	0	0	424	902	0	0	0	0	0	0	623	0	445	0	117	157	0	0	0	0	174	0	2	0	0	160	0	183	0	0	681	2	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0
8Mo1_15	Desert	782	8384	0	0	0	10857	541	21	0	2	253	0	0	0	0	4148	513	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_16	Desert	544	11839	0	49	13403	6096	91	0	2092	164	0	0	0	0	0	308	532	104	13	0	0	0	0	0	0	0	0	91	2	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	334	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_17	Desert	20993	7956	2	7798	3	8	0	0	9288	269	0	0	8	0	43	9	0	0	653	2	39	2	6	3	11	2	0	8	0	0	20	20	0	0	0	0	3	0	39	0	9	7	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_18	Desert	16052	15	0	4	17	0	0	0	0	0	0	0	13	0	0	0	1	0	0	9	0	0	0	9	0	0	0	1	0	5	0	0	0	0	0	0	6	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_19	Desert	19694	5299	3	0	5803	0	0	0	0	0	0	0	9	0	0	0	521	0	0	15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo1_20	Desert	4877	2	0	4	8123	0	0	0	0	0	0	0	5	0	0	0	433	661	0	5	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	5	0	5	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo2_16	Desert	2379	28047	187	8153	581	1	0	1	286	2587	167	1706	2482	939	303	283	32	4	0	690	1502	2876	291	1708	145	323	0	0	0	3	207	649	0	0	0	0	1	0	323	3	829	2	182	115	0	0	0	0	279	0	0	5	0	123	0	108	3	0	523	2	0	0	0	0	0	83	0	9	0	0	0	0	0	12	0	0	0
8Mo2_17	Desert	5985	17440	0	468	4268	2145	28	0	99	26	0	0	1751	47	229	713	139	372	0	3	687	2012	255	1403	202	274	0	11	155	0	189	437	0	383	5	0	0	0	273	2	248	0	131	59	4	0	14	1	225	36	244	67	0	83	0	0	0	33	230	0	0	0	21	0	19	157	0	0	0	181	0	0	0	0	13	0	0
8Mo2_21	Desert	28946	2392	0	2787	37	16	0	0	0	0	0	0	4	16901	12	0	395	0	0	4	20	0	0	5	0	3	3	0	0	4	15	0	0	46	0	2	0	0	15	5	0	2	0	5	0	0	0	0	2	0	0	5	0	0	0	0	4	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_15	Desert	4225	20168	0	22	1	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo3_16	Desert	93	499	0	421	152	0	0	0	3	18	0	0	1232	0	7	0	0	0	0	679	0	0	0	14	0	89	1546	0	0	2017	31	14	113	0	0	131	94	0	0	223	0	50	0	0	0	30	0	77	476	0	0	62	1147	0	235	0	487	98	10	398	88	452	0	189	503	0	212	390	257	0	351	0	132	205	71	177	95
8Mo3_17	Desert	2222	225	3	18053	8298	14	77	0	10	2	0	0	2	0	225	4	1129	0	0	9	0	0	2	36	114	0	11	0	1	0	0	0	4	0	0	4	6	0	15	1	5	5	0	0	0	24	0	0	5	0	0	3	0	0	3	0	0	0	10	20	0	0	0	0	0	0	0	1	0	11	0	0	1	0	2	0	0
8Mo3_18	Desert	253	81135	0	475	3466	0	0	0	679	1	0	0	26	2	0	7	0	0	0	12	4	1	0	9	0	12	13	0	0	9	6	2	0	0	0	46	35	0	0	9	0	0	0	0	0	0	0	0	12	0	0	12	0	0	0	0	1	0	0	22	0	0	0	0	0	6	0	10	0	0	0	0	0	0	6	0	0
8Mo5_3	Desert	0	6180	0	64	7	26	15	216	19	19	175	0	77	1	15	30	0	4676	1	25	9	0	29	0	7	26	7	634	0	4	0	1	0	91	0	10	4	0	10	37	1	13	0	0	152	2	139	0	19	0	0	6	0	0	0	0	7	2	6	11	0	4	0	4	6	43	0	13	0	0	0	0	0	0	0	0	0
8Mo6_16	Desert	4869	25317	0	832	9	227	0	75	2	6354	14	0	18	1880	6	31	38	96	0	3	26	1	6	5	7	4	6	2	4	0	4	3	0	0	1	0	0	0	23	5	14	0	0	2	0	0	0	5	3	0	3	21	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
8Mo6_17	Desert	0	36221	0	11658	37	2	77	24	0	2316	0	170	7	1543	2	0	1066	17	0	8	24	2	1	0	6	0	3	1	0	0	0	5	0	1	3	0	0	0	4	3	6	0	0	0	0	0	3	0	3	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8Mo6_18	Desert	2042	42642	0	74	177	111	0	12	0	26	0	1	12	43	3	18	2	63	0	10	7	2	2	0	0	0	5	0	0	1	0	0	0	0	0	3	0	0	4	6	0	0	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8Mo6_19	Desert	25307	283	0	66	13	17	0	144	0	1	0	0	26	20	29	5	4	41	0	50	9	0	8	19	38	5	8	0	0	12	9	6	0	0	0	5	6	0	40	6	24	1	0	3	0	0	0	25	11	0	0	5	0	0	2	0	13	0	2	15	0	0	0	6	5	0	0	10	0	0	0	0	0	0	12	0	0
8Mo6_20	Desert	40003	505	1	16	195	10773	10	1996	0	7	0	1	18	14	13	2	8	30	0	28	44	0	0	88	4	9	23	0	0	2	2	59	0	0	0	4	8	0	1	16	277	8	2	0	0	0	0	3	4	0	0	3	2	0	6	0	3	0	4	3	2	0	0	9	0	1	0	2	0	0	0	0	0	0	6	0	0
8Mo7_11	Desert	19271	803	1	77	7	7	34	131	0	45	0	0	9	5	17	1	4	344	0	27	2	2	0	0	17	0	7	15	0	0	4	0	0	27	0	4	3	0	18	26	0	11	0	5	0	0	43	7	4	0	0	10	0	0	1	0	5	0	0	9	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
23Mo7_29_39	Grassland	128439	2045	0	0	9	8	0	0	0	9	0	0	3	8	0	0	100	165	0	0	0	0	0	0	0	2	0	183	39	0	0	0	0	137	8	0	0	0	0	0	0	0	0	0	0	34	0	0	0	7	73	0	0	0	0	0	0	8	0	0	0	0	55	0	11	0	0	0	0	0	0	42	0	0	0	0	0
23Mo7_29_40	Grassland	135218	25	0	0	0	7207	323	0	0	49	0	0	13	7	0	0	347	287	0	0	7	9	0	4	0	0	0	0	455	0	0	0	0	176	20	0	0	0	0	0	0	0	0	0	0	71	15	0	0	3	199	0	0	0	0	0	0	3	0	0	0	0	17	0	0	0	0	0	0	0	0	102	0	0	0	0	0
23Mo7_29_41	Grassland	61796	1618	0	14	131	10321	0	0	0	46	0	0	0	9	0	0	34	54	0	0	0	0	0	0	0	0	0	136	69	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
23Mo7_29_42	Grassland	49983	256	0	71	0	33	287	3	0	9	0	0	11	16	0	0	118	1649	0	0	32	0	0	0	0	1	0	55	281	0	0	0	0	1034	101	0	0	0	0	0	2	0	0	0	0	231	76	0	6	220	366	8	0	0	0	0	0	50	6	108	0	0	542	0	459	0	0	0	0	86	0	35	28	0	28	0	0
23Mo7_29_43	Grassland	51003	20	0	7	54	29	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_44	Grassland	57957	107	1	59	0	0	12	0	0	17	0	0	0	0	0	0	40	643	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	481	95	0	0	0	0	0	0	25	0	0	0	21	12	0	0	39	316	0	0	0	0	0	0	0	0	0	0	0	81	0	17	0	0	0	0	0	0	110	0	0	0	0	0
23Mo7_29_45	Grassland	70210	309	0	441	20	3521	880	11	0	4	0	0	12	7	0	0	2	2060	0	0	0	0	0	0	0	6	0	321	636	0	2	0	0	993	596	0	0	0	0	0	2	0	0	0	0	75	118	0	3	223	327	0	0	0	0	0	4	32	0	168	42	0	225	0	198	0	0	0	0	20	0	39	6	0	9	0	0
23Mo7_29_46	Grassland	63018	124	3	43	59	87	293	4	0	0	0	0	93	5	0	9	577	260	0	18	0	0	0	6	0	0	12	14	595	0	0	0	37	705	3	0	0	0	0	9	0	2	0	0	0	34	8	7	17	2	250	6	0	0	0	0	0	3	0	10	1	0	76	1	0	0	7	0	0	7	0	44	0	0	0	10	4
23Mo7_29_47	Grassland	45087	87	0	51	79	115	0	0	0	2	0	0	48	2	0	0	38	535	0	0	11	5	0	0	0	9	15	9	147	0	0	0	0	224	7	0	0	0	0	1	0	0	0	0	0	5	24	0	0	0	131	0	14	0	0	0	0	0	0	0	0	0	21	3	4	0	2	17	6	0	0	11	0	0	16	0	0
23Mo7_29_48	Grassland	78597	231	0	0	28	9	0	0	0	104	0	0	0	22	0	0	51	262	0	1	0	2	0	0	0	0	0	55	122	0	0	0	0	129	26	0	4	0	0	10	0	0	0	0	0	153	12	0	0	10	358	0	0	0	0	0	0	0	0	0	0	0	161	0	19	0	0	0	0	0	0	84	0	0	0	0	0
23Mo7_29_49	Grassland	75726	8	9	11	107	386	304	0	0	8	0	0	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	5	2	0	0	29	0	3	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	4	0	0	0	0	0
23Mo7_29_51	Grassland	71408	25	0	4	57	2862	47	0	5	0	0	0	0	0	3	0	12	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	2	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
23Mo7_29_52	Grassland	75151	38	0	0	1	0	28	0	0	2	0	0	0	0	0	0	0	181	0	0	4	0	0	0	0	0	0	10	41	0	3	0	0	43	34	0	0	0	0	2	0	0	0	0	0	85	0	0	0	22	41	0	0	0	0	0	0	0	0	20	0	0	54	0	19	0	0	0	0	0	0	0	12	0	0	0	0
23Mo7_29_53	Grassland	77080	3089	0	30	36	1	0	0	0	0	0	0	7	0	0	0	0	65	0	0	0	0	0	0	0	0	0	102	9	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	20	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	8	0	0
23Mo7_29_54	Grassland	122211	1	0	0	7	4263	4633	0	0	3	0	0	2	0	0	0	69	0	0	0	0	0	0	0	0	1	0	17	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23Mo7_29_55	Grassland	101603	58	1	13	7	10	172	24	0	394	0	0	1	0	0	0	181	299	0	0	0	0	6	18	0	0	2	41	92	0	0	0	0	139	12	3	0	0	0	0	0	0	0	0	0	103	25	0	0	0	528	0	0	0	0	0	0	0	0	0	0	0	90	0	4	0	0	0	0	0	0	129	11	0	0	0	0
23Mo7_29_56	Grassland	55837	1495	0	54	110	14342	1112	15	0	52	0	0	33	4	0	760	8	3	0	0	21	0	0	0	0	0	0	2	23	0	27	0	0	0	0	19	0	1617	10	78	0	95	0	0	0	6	6	0	0	0	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
